[2025-12-30 09:30:52.091] [headpose_logger] [info] Pitch: 52.6 degrees, Yaw: 83.7 degrees, Roll: -110.4 degrees
[2025-12-30 09:30:52.091] [headpose_logger] [info] Pitch: 52.6 degrees, Yaw: 83.7 degrees, Roll: -110.4 degrees
[2025-12-30 09:30:52.209] [headpose_logger] [info] Pitch: 104.7 degrees, Yaw: 85.9 degrees, Roll: -59.9 degrees
[2025-12-30 09:30:52.210] [headpose_logger] [info] Pitch: 104.7 degrees, Yaw: 85.9 degrees, Roll: -59.9 degrees
[2025-12-30 09:30:52.303] [headpose_logger] [info] Pitch: 111.9 degrees, Yaw: 85.3 degrees, Roll: -52.8 degrees
[2025-12-30 09:30:52.400] [headpose_logger] [info] Pitch: 133.6 degrees, Yaw: 82.9 degrees, Roll: -32.1 degrees
[2025-12-30 09:30:52.400] [headpose_logger] [info] Pitch: 133.6 degrees, Yaw: 82.9 degrees, Roll: -32.1 degrees
[2025-12-30 09:30:52.502] [headpose_logger] [info] Pitch: 114.9 degrees, Yaw: 79.2 degrees, Roll: -48.0 degrees
[2025-12-30 09:30:52.502] [headpose_logger] [info] Pitch: 114.9 degrees, Yaw: 79.2 degrees, Roll: -48.0 degrees
[2025-12-30 09:30:52.603] [headpose_logger] [info] Pitch: 111.0 degrees, Yaw: 80.1 degrees, Roll: -49.9 degrees
[2025-12-30 09:30:52.704] [headpose_logger] [info] Pitch: 80.8 degrees, Yaw: 77.4 degrees, Roll: -77.8 degrees
[2025-12-30 09:30:52.705] [headpose_logger] [info] Pitch: 80.8 degrees, Yaw: 77.4 degrees, Roll: -77.8 degrees
[2025-12-30 09:30:52.805] [headpose_logger] [info] Pitch: 77.6 degrees, Yaw: 75.4 degrees, Roll: -79.4 degrees
[2025-12-30 09:30:52.805] [headpose_logger] [info] Pitch: 77.6 degrees, Yaw: 75.4 degrees, Roll: -79.4 degrees
[2025-12-30 09:30:52.905] [headpose_logger] [info] Pitch: 71.3 degrees, Yaw: 72.1 degrees, Roll: -79.4 degrees
[2025-12-30 09:30:53.009] [headpose_logger] [info] Pitch: 67.1 degrees, Yaw: 71.3 degrees, Roll: -80.7 degrees
[2025-12-30 09:30:53.010] [headpose_logger] [info] Pitch: 67.1 degrees, Yaw: 71.3 degrees, Roll: -80.7 degrees
[2025-12-30 09:30:53.106] [headpose_logger] [info] Pitch: 67.8 degrees, Yaw: 70.6 degrees, Roll: -80.7 degrees
[2025-12-30 09:30:53.107] [headpose_logger] [info] Pitch: 67.8 degrees, Yaw: 70.6 degrees, Roll: -80.7 degrees
[2025-12-30 09:30:53.214] [headpose_logger] [info] Pitch: 69.8 degrees, Yaw: 71.0 degrees, Roll: -79.9 degrees
[2025-12-30 09:30:53.309] [headpose_logger] [info] Pitch: 73.5 degrees, Yaw: 70.9 degrees, Roll: -77.5 degrees
[2025-12-30 09:30:53.310] [headpose_logger] [info] Pitch: 73.5 degrees, Yaw: 70.9 degrees, Roll: -77.5 degrees
[2025-12-30 09:30:53.421] [headpose_logger] [info] Pitch: 70.7 degrees, Yaw: 71.4 degrees, Roll: -80.7 degrees
[2025-12-30 09:30:53.421] [headpose_logger] [info] Pitch: 70.7 degrees, Yaw: 71.4 degrees, Roll: -80.7 degrees
[2025-12-30 09:30:53.519] [headpose_logger] [info] Pitch: 70.0 degrees, Yaw: 70.9 degrees, Roll: -82.0 degrees
[2025-12-30 09:30:53.625] [headpose_logger] [info] Pitch: 75.0 degrees, Yaw: 70.6 degrees, Roll: -80.4 degrees
[2025-12-30 09:30:53.626] [headpose_logger] [info] Pitch: 75.0 degrees, Yaw: 70.6 degrees, Roll: -80.4 degrees
[2025-12-30 09:30:53.725] [headpose_logger] [info] Pitch: 91.4 degrees, Yaw: 66.8 degrees, Roll: -69.7 degrees
[2025-12-30 09:30:53.725] [headpose_logger] [info] Pitch: 91.4 degrees, Yaw: 66.8 degrees, Roll: -69.7 degrees
[2025-12-30 09:30:53.830] [headpose_logger] [info] Pitch: 88.3 degrees, Yaw: 69.1 degrees, Roll: -77.9 degrees
